Category,Headline,Slug,Subject/Question,Description,Linked celebrity,Seed Support,Seed Neutral,Seed Oppose
Tech,X AI and SpaceX merging,x-ai-and-spacex-merging,Do you support X AI and SpaceX merging?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “X AI and SpaceX merging”, then choose Support, Neutral, or Oppose.",,128,198,185
Tech,Crypto becoming mainstream global…,crypto-becoming-mainstream-global-finance,Do you support Crypto becoming mainstream global finance?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Crypto becoming mainstream global finance”, then choose Support, Neutral, or Oppose.",,252,201,118
Tech,SpaceX and Tesla merging,spacex-and-tesla-merging,Do you support SpaceX and Tesla merging?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “SpaceX and Tesla merging”, then choose Support, Neutral, or Oppose.",,139,195,129
Tech,AI replacing most office jobs,ai-replacing-most-office-jobs,Do you support AI replacing most office jobs?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI replacing most office jobs”, then choose Support, Neutral, or Oppose.",,92,179,264
Tech,BlackRock launching DeFi,blackrock-launching-defi-on-ethereum,Do you support BlackRock launching DeFi on Ethereum?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “BlackRock launching DeFi on Ethereum”, then choose Support, Neutral, or Oppose.",,70,247,156
Tech,Neuralink implanting chips,neuralink-implanting-chips-in-the-human-brain,Do you support Neuralink implanting chips in the human brain?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Neuralink implanting chips in the human brain”, then choose Support, Neutral, or Oppose.",,99,103,300
Tech,Governments regulating AI strictly,governments-regulating-ai-strictly,Do you support Governments regulating AI strictly?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Governments regulating AI strictly”, then choose Support, Neutral, or Oppose.",,87,282,93
Tech,Open-source AI being freely availa…,open-source-ai-being-freely-available,Do you support Open-source AI being freely available?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Open-source AI being freely available”, then choose Support, Neutral, or Oppose.",,93,197,62
Tech,TikTok being banned,tiktok-being-banned-in-certain-countries,Do you support TikTok being banned in certain countries?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “TikTok being banned in certain countries”, then choose Support, Neutral, or Oppose.",,20,54,257
Tech,Central Bank Digital Currencies (C…,central-bank-digital-currencies-cbdcs,Do you support Central Bank Digital Currencies (CBDCs)?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Central Bank Digital Currencies (CBDCs)”, then choose Support, Neutral, or Oppose.",,58,110,166
Tech,Apple launching AI-powered persona…,apple-launching-ai-powered-personal-assistants,Do you support Apple launching AI-powered personal assistants?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Apple launching AI-powered personal assistants”, then choose Support, Neutral, or Oppose.",,95,161,64
Tech,Tesla robotaxis replacing taxis,tesla-robotaxis-replacing-taxis,Do you support Tesla robotaxis replacing taxis?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Tesla robotaxis replacing taxis”, then choose Support, Neutral, or Oppose.",,70,107,294
Tech,Humanoid robots,humanoid-robots-in-everyday-workplaces,Do you support Humanoid robots in everyday workplaces?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Humanoid robots in everyday workplaces”, then choose Support, Neutral, or Oppose.",,93,200,165
Tech,Cashless societies,cashless-societies,Do you support Cashless societies?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Cashless societies”, then choose Support, Neutral, or Oppose.",,75,107,116
Tech,Self-driving cars replacing human…,self-driving-cars-replacing-human-drivers,Do you support Self-driving cars replacing human drivers?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Self-driving cars replacing human drivers”, then choose Support, Neutral, or Oppose.",,76,206,163
Tech,AI-generated movies and music,ai-generated-movies-and-music,Do you support AI-generated movies and music?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI-generated movies and music”, then choose Support, Neutral, or Oppose.",,180,189,124
Tech,Big Tech companies being broken up,big-tech-companies-being-broken-up,Do you support Big Tech companies being broken up?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Big Tech companies being broken up”, then choose Support, Neutral, or Oppose.",,162,270,191
Tech,Quantum computing,quantum-computing-for-national-security,Do you support Quantum computing for national security?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Quantum computing for national security”, then choose Support, Neutral, or Oppose.",,187,300,185
Tech,Social media age restrictions,social-media-age-restrictions,Do you support Social media age restrictions?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Social media age restrictions”, then choose Support, Neutral, or Oppose.",,102,279,151
Tech,Facial recognition in public spaces,facial-recognition-in-public-spaces,Do you support Facial recognition in public spaces?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Facial recognition in public spaces”, then choose Support, Neutral, or Oppose.",,74,300,113
Tech,AI tutors replacing school teachers,ai-tutors-replacing-school-teachers,Do you support AI tutors replacing school teachers?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI tutors replacing school teachers”, then choose Support, Neutral, or Oppose.",,102,105,247
